,id,tweet,username,photos,video,name,date,nlikes,nreplies,nretweets,cleaned_tweets
7556,1604503283984642048,"messi selama wc 2022. Golden Ball WC 22, Golden Boot WC 22, Piala Dunia. lengkap sudah",Naufalhakim99_,[],0,Naufal Syarif Hakim,2022-12-18 22:46:07,0,2,0,messi 2022 golden bal golden boot piala dunia lengkap
7557,1604503274027028481,#Messi #ArgentinaVsFrance #PialaDunia2022  https://t.co/ppQkP8BKC8,fiqyjack,[],1,Yaudah.,2022-12-18 22:46:05,0,0,0,messi argentina france piala dunia202
7558,1604503270616993792,Tenang Prancis bakal balas jadi 2-2 kok #PialaDunia2022 #ArgentinaVsFrance,TukangPecelLe2,[],0,Tukang Pecel Lele,2022-12-18 22:46:04,0,0,0,tenang prancis balas piala dunia202 argentina france
7559,1604503263893590016,"Final Piala Dunia 2022: Presiden Perancis Hadir di Stadion Qatar, Presiden Argentina Tidak  https://t.co/BR6jQqUboE",KompasBola,[],0,KompasBola,2022-12-18 22:46:02,4,0,1,final piala dunia 2022 presiden perancis hadir stadion qatar presiden argentina
7560,1604503262983761920,Final Piala Dunia 2022: Argentina Gandakan Keunggulan di Menit 36  https://t.co/w90kuIRove,VIVAbola,[],0,VIVAbola,2022-12-18 22:46:02,8,1,2,final piala dunia 2022 argentina ganda unggul menit
7561,1604503236399878144,Terima kasih RTM - Radio Televisyen Malaysia atas siaran lansung Final Piala Dunia 2022 Qatar.  Kita tengok di MYTV. Alhamdulillah.,AzizNorzali_PG,[],0,Aziz Norzali 🇲🇾🏅,2022-12-18 22:45:56,0,1,0,terima kasih rtm radio televisyen malaysia siar lansung final piala dunia 2022 qatar tengok mytv alhamdulillah
7562,1604503226920730624,Pemuda Perindo Gelar Nobar Final Piala Dunia 2022 di Cakung #LengkapCepatBeritanya #BeritaTerkini #BeritaTerkini #NewsUpdate .  https://t.co/hfRcgTQUE8,okezonenews,[],0,Okezone,2022-12-18 22:45:54,0,1,0,pemuda perindo gelar nobar final piala dunia 2022 cakung lengkap cepat berita berita kini berita kini news update
7563,1604503200735690752,Argentina sat set bgt udah gouuul  2 - 0 aja   #FIFAWorldCupQatar2022 #PialaDunia2022 #WorldCup #ArgentinaVsFrance,Heii_SayHii,[],0,See_marr,2022-12-18 22:45:47,0,0,0,argentina sat set bgt udah gouuul aja world cup qatar202 piala dunia202 world cup argentina france
7564,1604503079151611906,"Argentina 🥰💕 Sebelum mulai udah bilang duluan kalau Messi bisa kasih goll, mau cium posternya di dindomaret, Gimana ini ? #ArgentinaVsFrance #WorldCup #Qatar2022 #PialaDunia2022 #ArgentinaDay #Messi𓃵",Rusmiya42706281,[],0,Rusmiyati,2022-12-18 22:45:18,0,0,0,argentina udah bilang duluan messi kasih gol cium poster dindomaret gimana argentina france world cup qatar202 piala dunia202 argentina day messi
7565,1604503011958484992,Angel Di Maria menambah keunggulan Argentina melawan Perancis dalam final Piala Dunia 2022.   https://t.co/aLBkRbfcll,tauberitamedia,[],0,tauberita,2022-12-18 22:45:02,1,0,0,angel maria tambah unggul argentina lawan perancis final piala dunia 2022
7566,1604502967255969792,"SIARAN LANGSUNG! Pertandingan Final Piala Dunia 2022 Argentina vs Prancis, link live streaming alternatif   https://t.co/tgHwgXUPRL",bertaji_com,[],0,Bertaji ID,2022-12-18 22:44:52,2,0,0,siar langsung tanding final piala dunia 2022 argentina prancis link live streaming alternatif
